,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
81,"NN_tune_trainable_a17ed_00599_599_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::lr=0.001,optim::op_2021-07-06_04-01-33",0.113,0.1135,0.1135,0.1135
82,"NN_tune_trainable_a17ed_02392_2392_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=s_2021-07-10_09-30-01",0.113,0.1135,0.1135,0.1135
83,"NN_tune_trainable_a17ed_00326_326_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::optim_2021-07-05_13-43-37",0.982,0.5327,0.9822,0.656
84,"NN_tune_trainable_a17ed_01243_1243_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=sg_2021-07-07_15-06-02",0.113,0.1135,0.1135,0.1135
85,"NN_tune_trainable_a17ed_00443_443_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=ad_2021-07-05_19-53-32",0.113,0.1135,0.1135,0.1135
86,"NN_tune_trainable_a17ed_01167_1167_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.001,optim::opti_2021-07-07_11-05-23",0.939,0.1135,0.9449,0.1135
87,"NN_tune_trainable_a17ed_01454_1454_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opt_2021-07-08_03-12-52",0.981,0.8087,0.9819,0.7985
88,"NN_tune_trainable_a17ed_00859_859_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=sgd_2021-07-06_18-01-21",0.113,0.1135,0.1135,0.1135
89,"NN_tune_trainable_a17ed_02056_2056_model::dropout=0.0,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=a_2021-07-09_11-46-42",0.983,0.8974,0.987,0.9229
90,"NN_tune_trainable_a17ed_02262_2262_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::lr=0.001,optim::o_2021-07-10_01-09-35",0.974,0.7804,0.9749,0.8101
91,"NN_tune_trainable_a17ed_02191_2191_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.001,optim::opti_2021-07-09_20-30-01",0.939,0.1675,0.9414,0.1888
92,"NN_tune_trainable_a17ed_01808_1808_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimize_2021-07-08_22-14-30",0.975,0.756,0.9772,0.8779
93,"NN_tune_trainable_a17ed_02116_2116_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.001,optim::opt_2021-07-09_15-47-05",0.982,0.2614,0.9841,0.2578
94,"NN_tune_trainable_a17ed_00174_174_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opti_2021-07-05_05-34-22",0.98,0.9501,0.9816,0.9431
95,"NN_tune_trainable_a17ed_01908_1908_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim:_2021-07-09_03-26-12",0.852,0.8077,0.8502,0.8025
96,"NN_tune_trainable_a17ed_00154_154_model::dropout=0.0,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ada_2021-07-05_04-39-55",0.981,0.8503,0.985,0.8676
97,"NN_tune_trainable_a17ed_01221_1221_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.001,optim::opt_2021-07-07_13-56-42",0.958,0.2236,0.9591,0.2072
98,"NN_tune_trainable_a17ed_01996_1996_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.001,optim::opt_2021-07-09_08-05-18",0.979,0.837,0.9852,0.8577
99,"NN_tune_trainable_a17ed_02011_2011_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=sg_2021-07-09_08-50-01",0.101,0.0974,0.1009,0.1009
100,"NN_tune_trainable_a17ed_01842_1842_model::dropout=0.0,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.0001,optim::optimize_2021-07-09_00-01-11",0.946,0.4273,0.9459,0.4342
101,"NN_tune_trainable_a17ed_00839_839_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::optim_2021-07-06_16-57-26",0.961,0.3458,0.9603,0.2589
102,"NN_tune_trainable_a17ed_00094_94_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::optimi_2021-07-05_01-37-15",0.972,0.7931,0.982,0.8939
103,"NN_tune_trainable_a17ed_01306_1306_model::dropout=0.0,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ad_2021-07-07_19-01-28",0.983,0.9731,0.9883,0.9765
104,"NN_tune_trainable_a17ed_00533_533_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.001,optim::o_2021-07-06_00-39-08",0.928,0.4139,0.9296,0.4922
105,"NN_tune_trainable_a17ed_00451_451_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=sgd_2021-07-05_20-19-16",0.829,0.6905,0.8372,0.6605
106,"NN_tune_trainable_a17ed_01742_1742_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.001,optim::opti_2021-07-08_18-41-44",0.98,0.4204,0.9827,0.4418
107,"NN_tune_trainable_a17ed_01283_1283_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=ad_2021-07-07_17-44-39",0.96,0.5741,0.9604,0.5327
108,"NN_tune_trainable_a17ed_00532_532_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.001,optim::o_2021-07-06_00-35-46",0.978,0.6971,0.9785,0.6846
109,"NN_tune_trainable_a17ed_01225_1225_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=s_2021-07-07_14-16-59",0.113,0.1135,0.1135,0.1135
110,"NN_tune_trainable_a17ed_01319_1319_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-07_19-40-03",0.956,0.6272,0.9565,0.6411
111,"NN_tune_trainable_a17ed_00367_367_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opti_2021-07-05_15-51-04",0.912,0.241,0.911,0.2523
112,"NN_tune_trainable_a17ed_00158_158_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::optim_2021-07-05_04-45-18",0.982,0.5356,0.9849,0.521
113,"NN_tune_trainable_a17ed_00664_664_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ad_2021-07-06_07-30-48",0.981,0.1135,0.9836,0.1135
114,"NN_tune_trainable_a17ed_00690_690_model::dropout=0.0,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.0001,optim::optimizer_2021-07-06_08-55-20",0.948,0.402,0.9486,0.3972
115,"NN_tune_trainable_a17ed_00038_38_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::optim_2021-07-04_23-01-30",0.98,0.8721,0.9816,0.9111
116,"NN_tune_trainable_a17ed_02280_2280_model::dropout=0.0,model::init_type=uniform,model::nlin=relu,optim::lr=0.0001,optim::optimizer=_2021-07-10_02-26-06",0.113,0.1135,0.1135,0.1135
117,"NN_tune_trainable_a17ed_02233_2233_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=_2021-07-09_23-28-53",0.928,0.1143,0.9311,0.1157
118,"NN_tune_trainable_a17ed_00638_638_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.0001,optim::opti_2021-07-06_06-05-20",0.977,0.8871,0.9777,0.922
119,"NN_tune_trainable_a17ed_00062_62_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.0001,optim::optim_2021-07-05_00-10-39",0.982,0.903,0.9832,0.9083
120,"NN_tune_trainable_a17ed_01199_1199_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=relu,optim::lr=0.0001,optim::opt_2021-07-07_12-48-13",0.939,0.8144,0.9381,0.8239
121,"NN_tune_trainable_a17ed_00624_624_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::optimize_2021-07-06_05-27-24",0.113,0.1135,0.1135,0.1135
122,"NN_tune_trainable_a17ed_01846_1846_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::lr=0.0001,optim::_2021-07-09_00-15-18",0.962,0.7914,0.9622,0.8111
123,"NN_tune_trainable_a17ed_00001_1_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=adam_2021-07-04_21-06-03",0.958,0.1243,0.9629,0.1241
124,"NN_tune_trainable_a17ed_00961_961_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=sg_2021-07-06_23-57-08",0.829,0.299,0.8285,0.3159
125,"NN_tune_trainable_a17ed_01673_1673_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=a_2021-07-08_15-08-30",0.945,0.1135,0.9482,0.1135
126,"NN_tune_trainable_a17ed_00217_217_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=sg_2021-07-05_07-50-56",0.113,0.1135,0.1135,0.1135
127,"NN_tune_trainable_a17ed_01692_1692_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opt_2021-07-08_16-07-01",0.981,0.1698,0.9861,0.1822
128,"NN_tune_trainable_a17ed_00460_460_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.001,optim::opti_2021-07-05_20-44-14",0.981,0.9494,0.9825,0.9542
129,"NN_tune_trainable_a17ed_01546_1546_model::dropout=0.0,model::init_type=normal,model::nlin=relu,optim::lr=0.001,optim::optimizer=ad_2021-07-08_08-18-51",0.983,0.9462,0.987,0.9624
